name,address,icon,userComment,rating,tags,photos
"Lavapiés","Madrid, Espagne","bus","","","À essayer#A voir",""
"Temple of Debod","Calle Ferraz, 1, 28008 Madrid, Madrid, Espagne","generic","Temple égyptien","","À essayer#Monument",""
"Retiro-Park","Plaza de la Independencia, 7, 28001 Madrid, Madrid, Espagne","generic","Barque","","À essayer#Parc & Nature",""
"Bar La Campana","Calle de Botoneras, 6, 28012 Madrid, Madrid, Espagne","bar","Sandwich calamar frit","","À essayer#Grignotage",""
"Bodega de la Ardosa","Calle Colón, 13, 28004 Madrid, Madrid, Espagne","bar","Tortilla","","À essayer#Grignotage",""
"Casa Julio","Calle de la Madera, 37, 28004 Madrid, Madrid, Espagne","bar","Croquetas ","","À essayer#Grignotage",""
"Palacio Real","Centro, 28071 Madrid, Espagne","generic","","","À essayer#Monument",""
"Plaza Puerta del Sol","Plaza de la Puerta del Sol, 4","nightclub","","","À essayer#Monument",""
"Metropolis Building","Calle de Alcalá, 42, 28014 Madrid, Espagne","generic","","","À essayer#Monument",""
"Banco de España","Calle de Alcalá, 48, 28014 Madrid, Espagne","generic","","","À essayer#Monument",""
"Ojalá Beach Bar","Calle de San Andrés, 1, 28004 Madrid, Madrid, Espagne","restaurant","","","À essayer#Brunch",""
"Bucolico Cafe","Calle de Barbieri, 4, 28004 Madrid, Espagne","cafe","Cakes
Œufs bénédictines ","","À essayer#Cafe",""
"Casa González","Calle León, 12, 28014 Madrid, Madrid, Espagne","bar","Fromage et bellota
Chocolat chaud 
Tartines ","","À essayer#Grignotage#Cafe",""
"Dinamita perfumada","Calle del Ave María, 8, Madrid, Espagne","generic","Tapas vegan ","","À essayer#Restaurant#Vegan",""
"San Ginés","Pasadizo de San Ginés, 2, 28013 Madrid, Espagne","supermarket","Churros institution","","À essayer#Cafe",""
"Mercado de la Paz","Calle de Ayala, 28, 28001 Madrid, Madrid, Espagne","restaurant","Tortilla casa Dani ","","À essayer#Marché",""
"Mercado Antón Martín","Calle de Santa Isabel, 5, 28012 Madrid, Espagne","generic","","","À essayer#Marché",""
"Mercado de San Fernando","Calle de Embajadores, 41, 28012 Madrid, Espagne","bar","Alpargata ","","À essayer#Marché",""
"Les Blouses Blanches","186 Rue du Faubourg Saint-Antoine, Paris","bar","","","À essayer#Bar#Coworking#Restaurant",""
"Les Chartrons","2 Rue au Maire, 75003 Paris, France","bar","","","À essayer#Bar#Cafe",""
"Marlusse et Lapin","14 Rue Germain Pilon, 75018 Paris, France","bar","","","À essayer#Bar#Tranquilou",""
"La Belle Hortense","31 Rue Vieille du Temple, 75004 Paris, France","bar","","","À essayer#Bar#Librairie",""
"Le Café du Commerce","51 Rue du Commerce, 75015 Paris, France","restaurant","Bouillon 3 étages","","À essayer#Restaurant",""
"Hôtel de la Païva","23 Place St Georges, 75009 Paris, France","generic","Louvre du cul
Hôtel particulier ","","À essayer#Insolite",""
"Café librairie péniche","12–24 Quai de la Marne, 75019 Paris, France","generic","","","À essayer#Cafe#Librairie",""
"La Venelle - Village du Réemploi Solidaire","Rue de Paris, Montreuil, France","generic","","","À essayer#Ressourcerie&co",""
"Petit Nuage","Rue Simone Veil, Saint-Ouen-sur-Seine, France","generic","","","À essayer#Kids",""
"Petite Forêt","10 Rue Laure Diebold, 75008 Paris, France","cafe","","","À essayer#Kids",""
"Ernestine Café","72 Rue Joseph de Maistre 75018 Paris France","cafe","","","À essayer#Cafe#Restaurant#Kids",""
"Étagère café","51 Rue Léon Frot, 75011 Paris, France","generic","","","À essayer#Kids",""
"KUMA - MARAIS","5 Rue des Ecouffes, 75004 Paris, France","restaurant","Curry japonais","","À essayer#Restaurant",""
"La Recharge","38 Rue Sainte-Colombe, 33000 Bordeaux, France","supermarket","","","Zero déchet",""
"Nomad Bordeaux","43 Rue Sainte-Colombe, 33000 Bordeaux, France","restaurant","","","À essayer#Restaurant",""
"La Chassagnette","Mas de la Chassagnette, Chemin du Sambuc, 13200 Arles, France","restaurant","","","À essayer#Restaurant#Chic",""
"Kalu Coco (Fadoli et Fadola)","44 Rue des Arènes, 13200 Arles, France","restaurant","","","À essayer#Grignotage#Sandwich",""
"Barqin","5 Rue de la Place, 13200 Arles, France","generic","","","À essayer#Restaurant",""
"Faim","9 Place Voltaire, Arles, France","generic","","","Restaurant",""
"Mon chou","3 Place Voltaire, Arles","restaurant","","","À essayer#Restaurant",""
"Chez Marnie","55 Rue Condorcet, Arles","restaurant","","","À essayer#Glaces",""
"Oboulaba","32 Rdpt des Arènes, 13200 Arles, France","restaurant","","","À essayer#Grignotage#Restaurant",""
"Cocorrico, bistro arlesiano, restauration & coktails","31 Rue Porte de Laure, Arles","restaurant","","","À essayer#Restaurant",""
"Le Greeniotage","21 Rue des Carmes, 13200 Arles, France","restaurant","","","À essayer#Restaurant",""
"MONSTRE","13 Rue Tour de Fabre, Arles","restaurant","","","À essayer#Restaurant",""
"Bocal & co - Arles","23 bis Rue de la République, Arles","shopping","","","À essayer#Zero déchet",""
"La cachette","13 Rue Tour du Fabre 13200 Arles France","restaurant","","","À essayer#Glaces",""
"Mazette !","8 Pl. Antonelle, 13200 Arles, France","cafe","","","À essayer#Brunch#Cafe",""
"Café de la Roquette","12 Pl. Paul Doumer, 13200 Arles, France","cafe","","","Grignotage",""
"Peach","2 Rue de la République, 13200 Arles, France","restaurant","","","À essayer#Cafe#Tranquilou",""
"Eat Parade","7 Rue de la Roquette, 13200 Arles, France","restaurant","","","À essayer#Sandwich#Restaurant",""
"Les Baratineurs","41 Pl. Forum des Cardeurs, 13100 Aix-en-Provence, France","restaurant","","","À essayer#Restaurant",""
"Atelier des Lauves","9 Avenue Paul Cézanne, 13100 Aix-en-Provence, France","museum","","","À essayer#Musee",""
"Site-Mémorial du Camp des Milles","40 Chemin de la Badesse, 13290 Aix-en-Provence, France","museum","","","À essayer#Musee",""
"Henry et Henriette mercerie","8 Rue des Trois Croissants, Nantes, France","generic","","","À essayer#Mercerie",""
"MALA MALA","324 Rue Saint-Martin, 75003 Paris, France","restaurant","","","À essayer#Restaurant",""
"Fromagerie de la Sioule","57 Boulevard Ledru-Rollin, 03500 Saint-Pourçain-sur-Sioule, France","generic","","","Marché",""
"Immeuble Henri Deneux","183 Rue Belliard, Paris, France","generic","","","À essayer#Monument",""
"Le Gribouille","44 Rue de Rivoli, 75004 Paris, France","restaurant","Tartare et brioche perdue dingo","","Restaurant",""
