name,address,icon,userComment,rating,tags,photos
"Little Atlantique Brewery","23 Boulevard de Chantenay, 44100 Nantes, France","nightclub","","","À essayer#Coworking#Bar",""
"Chop Chop","11 Rue Saint-Léonard, 44000 Nantes, France","cafe","","","À essayer#Coworking#Cafe",""
"Le Café de la Cité","5 Rue de Valmy, 44000 Nantes, France","travel","","","À essayer#Coworking",""
"Les Bien-Aimés","2 Rue de la Paix, 44000 Nantes, France","library","","","À essayer#Librairie#Tranquilou#Coworking",""
"Les Machines de L'Île","Boulevard Léon Bureau, 44200 Nantes, France","amusement","","","Insolite#Kids",""
"Le Lieu Unique","2 Rue de la Biscuiterie, 44000 Nantes, France","generic","","","À essayer#A visiter",""
"Le Café des Chats","9 Rue Sedaine, 75011 Paris, France","cafe","","","À essayer#Cafe",""
"Clinique Oudinot","2 Rue Rousselet, 75007 Paris, France","generic","Jardin ouvert a tous","","À essayer#Parc & Nature",""
"Square Saint-Gilles Grand Veneur","9 Rue du Grand-Veneur, 75003 Paris, France","forest","","","À essayer#Parc & Nature",""
"Gulato Paris","72 Rue Condorcet, 75009 Paris, France","restaurant","","","À essayer#Glaces",""
"Le Vallon du Villaret","10 Route de la Bessière, 48190 Allenc, France","amusement","","","À essayer#Insolite#Kids#Jeux#Parc & Nature",""
"La Romana","14 Boulevard Saint-Michel, 75006 Paris, France","generic","","","À essayer#Glaces",""
"Église Saint-Joseph du Havre","8 Boulevard François 1er, 76600 Le Havre, France","generic","","","À essayer#Monument",""
"Community Garden Lea Garofalo","Viale Montello, 3, 20154 Milano MI, Italie","generic","","","À essayer#Parc & Nature",""
"Osteria da Fortunata","Via Fiori Chiari 13, 20121 Milan, Italy","restaurant","","","À essayer#Restaurant",""
"Gelato Massimiliano Scotti","Via Marco Formentini 5, 20121 Milan Lombardie, Italie","generic","Numéro 1 Europe
Numéro 4 monde","","À essayer#Glaces",""
"Gelateria Porta Romana","Corso di Porta Romana 126, 20122 Milano, Italia","restaurant","","","Glaces",""
"Gelateria La Romana","Viale col di Lana 2, 20136 Milano, Italia","restaurant","","","Glaces",""
"Piazza Gae Aulenti","Piazza Gae Aulenti, 20124 Milano MI, Italie","geocode","","","À essayer#A voir",""
"Église San Bernardino alle Ossa","Via Carlo Giuseppe Merlo, 4, Milano, Italie","generic","","","À essayer#Monument",""
"Fonderia Napoleonica Eugenia","Via Generale Thaon di Revel, 21, 20159 Milano MI, Italia","museum","","","À essayer#Marché",""
"Sforzesco Castle","Piazza Castello, 27029 Milano, Italie","generic","","","À essayer#A visiter#Monument#Musee",""
"Rossopomodoro","Via Luigi Porro Lambertenghi 19, 20159 Milano, Italia","restaurant","","","À essayer#Restaurant",""
"Rossopomodoro","Via della Moscova 58, 20121 Milano, Italia","restaurant","","","À essayer#Restaurant",""
"Pizzeria Spontini","Via Gaspare Spontini, 4, 20131 Milano, Italie","restaurant","","","À essayer#Restaurant",""
"Spontini","Viale Don Luigi Sturzo, 20154 Milano MI, Italia","restaurant","","","À essayer#Restaurant",""
"Rinomata Gelateria","Ripa di Porta Ticinese 1, 20143 Milano, Italia","restaurant","","","À essayer#Glaces",""
"Trattoria Toscana","Corso di Porta Ticinese, 58, 20123 Milano MI, Italia","restaurant","","","À essayer#Restaurant",""
"La Madonnina - Trattoria","Via Gentilino 6, 20136 Milano, Italia","restaurant","","","À essayer#Restaurant",""
"Le Striatelle di Nonna Mafalda","Via Vigevano, 13, 20144 Milano, Italie","restaurant","Conseil Claire H 
Sympa pas cher bon","","À essayer#Restaurant",""
"Chocolat Milano","Via Giovanni Boccaccio, 9, Milano MI 20123","shopping","","","À essayer#Glaces",""
"Chiesa di San Maurizio al Monastero Maggiore","Corso Magenta, 13, 20123 Milano, Italie","worship","","","À essayer#Monument",""
"Basilica di Sant'Ambrogio","Piazza Sant'Ambrogio, 15, 20123 Milano MI, Italia","worship_christian","","","À essayer#Monument",""
"Colonne di San Lorenzo","Corso di Porta Ticinese 39, 20123 Milano, Italia","generic","","","À essayer#Monument",""
"Portinari Chapel","Piazza Sant'Eustorgio, 1, 20122 Milano MI, Italie","worship","","","À essayer#Monument",""
"Basilica of Sant'Eustorgio","Piazza Sant'Eustorgio, 6, 20122 Milano, Italie","generic","","","À essayer#Monument",""
"Cenacolo Vinciano","Piazza di Santa Maria delle Grazie, 2, 20123 Milano, Italie","museum","","","À essayer#Musee",""
"Église Santa Maria delle Grazie","Via Giuseppe Antonio Sassi 3, 20123 Milano, Italia","generic","","","À essayer#Monument",""
"Santa Maria presso San Satiro","Via Torino, 19, 20123 Milano MI, Italia","worship_christian","","","À essayer#Monument",""
"Galleria Vittorio Emmanuele II","Galleria Vittorio Emanuele II, 20121 Milano, Italia","shopping","","","À essayer#A voir",""
"Piazza dei Mercanti","Piazza dei Mercanti, 20123 Milano MI, Italia","monument","","","À essayer#A voir",""
"Piazza della Signoria","Piazza della Signoria, 50122 Firenze, Italia","generic","","","À essayer#A voir",""
"San Marco","Via Camillo Benso di Cavour, 50, 50121 Firenze FI, Italia","lodging","","","À essayer#Monument",""
"La Verna - Santuario Francescano","La Verna, 52010 Chiusi della Verna AR, Italia","generic","","","À essayer#Monument",""
"La Piccina Arezzo - Schiacciate","Piazza Sant'Agostino, 12, 52100 Arezzo AR, Italia","restaurant","Focaccia ","","À essayer#Grignotage",""
"Torre dell'Orologio","Via Andrea Cesalpino 53, 52100 Arezzo, Italia","generic","","","À essayer#Monument#Musee",""
"Torre dell'Orologio","Piazza San Marco, Venezia, Italie","generic","","","À essayer#Monument#Musee",""
"Church of San Francesco Arezzo","Piazza San Francesco 1, 52100 Arezzo, Italia","generic","","","À essayer#Monument",""
"Museo di Casa Vasari","Via Venti Settembre 55, 52100 Arezzo, Italia","museum","","","À essayer#Musee",""
"Cathédrale San Donato Arezzo","Piazza del Duomo 3, 52100 Arezzo, Italia","generic","","","Monument",""
"Église Santa Maria della Pieve (Arezzo)","Corso Italia 7, 52100 Arezzo, Italia","generic","","","À essayer#Monument",""
"Piazza Grande","Piazza Grande 3, 52100 Arezzo, Italia","generic","","","A voir",""
"Piazza Sant'Agostino","Via de' Mannini, 52100 Arezzo AR, Italia","geocode","","","À essayer#Monument",""
"San Lorentino Lato Mura","Via Benedetto Varchi, 22 52100 Arezzo Italy","generic","","","À essayer#Monument",""
"La Tua Piadina Arezzo","Via de' Cenci 18, 52100 Arezzo, Italia","restaurant","","","À essayer#Grignotage",""
"Bona Pizza Romana in Teglia","Via di Tor Millina, 34, 00186 Roma RM, Italia","restaurant","Pizza dingo","","À essayer#Grignotage",""
"Piazza Mattei","Piazza Mattei, 00186 Roma, Italia","generic","","","À essayer#Village mignon",""
"Le Coronarie","Via dei Coronari 95, 00186 Rome, Italy","restaurant","Lieu trop cool","","Bar#Grignotage#Restaurant",""
"Fiocco di Neve","Via del Pantheon, 51, 00186 Roma RM, Italia","restaurant","Caramel salé dingo","","Glaces",""
"Mercato Rionale Campo Marzio di Piazza Monte d'Oro","Piazza di Monte d'Oro, 29, 00186 Roma RM, Italia","shopping","","","À essayer#Marché",""
"Marbre lion","Via dell'Orso 83–92, 00186 Rome Latium, Italie","generic","","","À essayer#Monument",""
"Marbre lion antilope","Via dell'Orso 87, Rome, Italie","generic","","","À essayer#Monument",""
"Osteria conviviale","Via della Giuliana 59, 00195 Rome Latium, Italie","generic","","","À essayer#Restaurant#Bar",""
"Basilica di San Clemente (Basilica San Clemente)","Via Labicana, 95, 00184 Roma RM, Italia","worship_christian","","","À essayer#Monument",""
"La Fiorentina","Via Andrea Doria 22, 00195 Rome, Italy","restaurant","","","À essayer#Glaces",""
"La Casina del Caffe","Via Tunisi, 60, 00192 Roma RM, Italia","cafe","","","À essayer#Grignotage#Marché",""
"Trajan's Market","Via IV Novembre 94, 00187 Roma, Italia","museum","","","À essayer#Monument",""
"Largo di Torre Argentina","Largo di Torre Argentina, Via di Torre Argentina 41–47, 00186 Roma, Italia","generic","","","À essayer#Monument",""
"Isola Tiberina","Via della Lungaretta 177, 00153 Roma, Italia","school","","","À essayer#Parc & Nature",""
"Chiostro del Bramante - Art Museum Experience","Arco della Pace 5, 00186 Roma, Italia","museum","","","À essayer#Monument#Musee",""
"Bibliobar","Piazza Adriana, 00193 Roma RM, Italia","wine","","","À essayer#Bar#Librairie",""
"Djinn","Lungotevere Tor di Nona 5–7, 00186 Rome Latium, Italie","generic","","","Bar#Grignotage",""
"Terrazza Tevere","Lungotevere Tor di Nona, 00186 Roma RM, Italia","restaurant","Pizzas pas dingue mais pas mal
Spot vraiment cool en face du château au nord de l’eau","","Bar#Restaurant",""
"Arco degli Acetari","Via degli Acetari, 00186 Roma, Italia","generic","","","À essayer#Monument",""
"Luma Bistrò","Via Otranto, 29, 00192 Roma RM, Italia","restaurant","","","À essayer#Grignotage#Restaurant",""
"Cartolerie Internazionali","Via Arenula 85, 00186 Roma, Italia","shopping","","","À essayer#Papeterie",""
"Basilica of Saint Paul Outside the Walls","Piazzale di San Paolo 1, 00146 Roma, Italia","generic","","","À essayer#Monument",""
"Chapelle Sixtine","00120, État de la Cité du Vatican","museum","","","Monument",""
"Basilique Saint-Pierre","Piazza San Pietro","generic","","","Monument",""
"Palais Barberini","Via delle Quattro Fontane 13, 00184 Roma, Italia","generic","","","À essayer#Musee",""
"Villa Médicis","Viale della Trinità dei Monti 1, 00187 Roma, Italia","generic","","","Musee",""
"Ghetto juif","Piazza delle Cinque Scole, 00186 Roma, Italia","generic","","","À essayer#A voir",""
"Campo de' Fiori","Piazza Campo De’ Fiori 11–16, 00186 Roma, Italia","generic","","","À essayer#A voir",""
"Piazza del Popolo","Piazza del Popolo, 00187 Roma, Italia","generic","","","A voir",""
"Explora il Museo dei Bambini","Via Flaminia 82, 00196 Roma RM, Italia","museum","","","À essayer#Kids#Musee",""
"Musei Vaticani","Viale Vaticano, 00120 Roma RM, Italia","museum","","","À essayer#Musee",""
"Parco della Mole Adriana","Piazza Adriana, lungotevere Castello, 00193 Roma, Italia","park","Conseil Robie","","À essayer#Parc & Nature",""
"Via Sabotino","Via Sabotino, 00195 Roma RM, Italia","forest","Conseils Robie
Pres de la maison, petit parc pour jouer","","À essayer#Parc & Nature",""
"Laghetto dell'Eur","Viale America, 00144 Roma RM, Italia","forest","Pinocchio","","À essayer#Parc & Nature",""
"Circo Massimo (Circus Maximimo)","Via del Circo Massimo, 00153 Roma RM, Italia","historic","","","À essayer#Monument",""
"Studio Bibliografico Invito alla Lettura di Roma ","Viale dei Bastioni di Michelangelo, 23, 00120 Roma RM, Italia","generic","","","À essayer#Librairie",""
"Domus Corsini (Villa Corsini)","Via Corsini, 10, 00165 Roma RM, Italia","lodging","","","À essayer#Parc & Nature",""
"Marché De Campo Dei Fiori","Piazza Campo De’ Fiori, 00186 Roma, Italia","shopping","","","À essayer#Marché",""
"Piazza di Spagna (Place d'Espagne)","Piazza di Spagna, 00187 Roma RM, Italia","historic","","","A voir",""
"Piazza Navona","Piazza Navona, 00186 Roma, Italia","generic","","","À essayer#A voir",""
"Catacombe San Sebastiano","Via Appia Antica 136, 00179 Roma, Italia","generic","","","À essayer#Insolite#A visiter",""
"Catacombe Di San Callisto","Via Appia Antica 110, 00179 Roma, Italia","generic","","","À essayer#A visiter#Insolite",""
"Via Appia Antica","Via Appia Antica, 169, 00179 Roma RM, Italia","historic","","","À essayer#A voir",""
"Victor Emmanuel II Monument","Via dei Fori Imperiali, 00186 Roma, Italia","generic","","","À essayer#Monument",""
"Campidoglio","Piazza del Campidoglio, 00186 Roma RM, Italia","historic","","","À essayer#Village mignon",""
"Centrale Montemartini","Via Ostiense 106, 00154 Roma, Italia","museum","Musee dans ancienne centrale electrique","","À essayer#Musee",""
"Castel Sant'Angelo (Château Saint-Ange)","Lungotevere Castello, 50, 00186 Roma RM, Italia","monument","","","À essayer#Monument#Musee",""
"MAXXI","Via Guido Reni 4A, 00196 Roma, Italia","museum","Musee art contemporain","","À essayer#Musee",""
"Jardins de la Villa Borghèse","Viale del Lido, 00197 Roma, Italia","generic","","4.5","Parc & Nature",""
"Circolo Valentini","Via della Marcigliana 597, 00139 Roma, Italia","generic","","","À essayer#Piscine",""
"Piscina Delle Rose","Viale America 20, 00144 Roma, Italia","generic","","","À essayer#Piscine",""
"Parc Central du Lac","Parco Centrale del Lago, Passeggiata del Giappone, 00144 Roma, Italia","park","","","À essayer#Parc & Nature",""
"Giardino di Ninfa","Via Ninfina, 68, 04012 Cisterna di Latina LT, Italia","monument","https://www.destinationrome.fr/bons-plans/insolite/jardins-insolites-sejour-rome/","","À essayer#A visiter#Parc & Nature",""
"Pediatric Hospital Bambino Gesù","Piazza di Sant'Onofrio 4, 00165 Roma, Italia","hospital","Au cas où…","","À essayer#Kids",""
"Mercato Trionfale","Via Andrea Doria 41, 00192 Roma, Italia","shopping","Conseil Robie

Laitier artisanal glaces choco trop bonnes ","","À essayer#Marché",""
"Guttilla","Via dei Gracchi, 93, 00192 Roma RM, Italia","generic","Conseil Robie","","À essayer#Glaces",""
"Cremilla gelateria","Via di Porta Castello, 39, 00193 Roma RM, Italia","generic","Conseil Robie","","À essayer#Glaces",""
"Gelateria Il Pellicano","Piazzale di Ponte Milvio 19, 00135 Roma, Italia","restaurant","Conseil Robie","","À essayer#Glaces",""
"Neve di Latte","Via Federico Cesi 1, 00193 Roma, Italia","restaurant","Conseil Robie","","À essayer#Glaces",""
"La Romana","Via Cola di Rienzo, 2, 00193 Roma, Italie","restaurant","Conseil Robie","","À essayer#Glaces",""
"Lian ","Lungotevere dei Mellini, 7, 00196 Roma, Italie","nightclub","Conseil Robie
Bateau sur le tevere ","","À essayer#Restaurant#Insolite",""
"Da Franco al Vicoletto","Via dei Falisci 2, 00185 Roma, Italia","restaurant","Conseil Robie","","À essayer#Restaurant",""
"Osteria della Suburra","Via Urbana 67, 00184 Roma, Italia","restaurant","Conseil Robie","","À essayer#Restaurant",""
"Salotto Caronte","Via Machiavelli 23A, 00185 Roma, Italia","restaurant","Conseil Robie","","À essayer#Restaurant",""
"Cucina Pepe","Via Guglielmo Pepe 39, 00185 Roma, Italia","restaurant","Conseil Robie","","À essayer#Restaurant",""
"Pizzeria Ai Marmi","Viale di Trastevere 53, 00153 Roma, Italia","restaurant","Conseil Robie","","À essayer#Restaurant",""
"Take Sushi","Viale di Trastevere 4, 00153 Roma, Italia","restaurant","Conseil Robie","","À essayer#Restaurant",""
"Roscioli Salumeria con Cucina","Via dei Giubbonari, 21, 00186 Roma RM, Italie","restaurant","Conseil Robie","","À essayer#Restaurant",""
"Emma","Via del Monte della Farina, 28, 00186 Roma, Italie","restaurant","Conseil Robie","","À essayer#Restaurant",""
"Lungotevere Expo","Lungotevere Ripa, 6, 00153 Roma RM, Italie","shopping","Conseil Robie
De ponte sisto à ponte sublicio","","À essayer#Bar#Grignotage",""
"Felice a Testaccio","Via Mastro Giorgio, 29, 00153 Roma, Italie","restaurant","Conseil Robie","","À essayer#Restaurant",""
"Pizzeria Remo","Piazza di Santa Maria Liberatrice 44, 00153 Roma, Italia","restaurant","Conseil Robie","","À essayer#Restaurant",""
"Il Giardino Romano","Via del Portico d'Ottavia 18, 00186 Roma, Italia","restaurant","Conseil Robie","","À essayer#Restaurant",""
"Il Bar Sotto Il Mare","Via Tunisi, 27, Roma, Italie","restaurant","Conseil Robie","","À essayer#Bar#Restaurant",""
"Matricianella","Via del Leone 4, 00186 Roma, Italia","restaurant","Conseil Robie","","À essayer#Restaurant",""
"Osteria Nuvolari","Via degli Ombrellari 10, 00193 Roma, Italia","supermarket","Conseil Robie","","À essayer#Restaurant",""
"La Pratolina","Via degli Scipioni 248","restaurant","Conseil Robie","","À essayer#Restaurant",""
"L'isola della Pizza","Via degli Scipioni 45, 00192 Roma, Italia","restaurant","Conseils Robie ","","À essayer#Restaurant",""
"Piadina Pratello Piadineria","Via del Pratello 51, 40122 Bologna, Italy","restaurant","","","Grignotage",""
"Parco Archeologico di Ostia Antica","Viale dei Romagnoli 717, 00119 Roma, Italia","generic","","","À essayer#Monument",""
"Siena","53100 Siena, Italia","bus","","","Village mignon",""
"Fontaine de Trévi","Piazza di Trevi, 00187 Roma, Italia","generic","","","À essayer#Monument",""
"Maman Robie","Via Simone de Saint Bon 81, Rome, Italie","generic","","","À essayer#Hotel",""
"San Gimignano","Piazza del Duomo 2, 53037 San Gimignano SI, Italia","generic","","","Village mignon",""
"Basilique Santo Spirito","Piazza Santo Spirito 30, 50125 Firenze, Italia","generic","Conseils Julien B

quartier tres sympa sur la rive gauche : https://maps.app.goo.gl/VSH64rJuRCvf8ZUR6 

autour de l'église dépouillée de michel ange","","À essayer#Monument",""
"Mercato Centrale Firenze","Piazza del Mercato Centrale, 20, 50123 Firenze FI, Italia","restaurant","","","À essayer#Restaurant#Marché",""
"Santa Maria Novella (Basilica di Santa Maria Novella)","Piazza di Santa Maria Novella, 18, 50123 Firenze FI, Italia","historic","","","À essayer#Monument",""
"Cibrèo","Via Andrea del Verrocchio, 8R, 50122 Firenze FI, Italia","restaurant","Conseils Julien B 

le meilleur restau ou j'ai mangé (plusieurs fois) en italie : https://maps.app.goo.gl/J1bfqjaocSZ7YGU4A","","À essayer#Restaurant",""
"Cattedrale di Santa Maria del Fiore","Piazza Duomo, 17, 50122 Firenze FI, Italia","generic","Conseils Julien.  B

si vous pouvez faire le l'ascension du Duomo avec les enfants, il ne faut pas hésiter : https://maps.app.goo.gl/6MnHgAsVGutwer5z6","","À essayer#Monument",""
"La Certosa","Via Cassia, 1, 50023 Impruneta FI, Italia","restaurant","Conseils julien B A l’exterieur quand vous en aurez marre de la foule","","À essayer#Monument",""
"Piazzale Michelangelo","Piazzale Michelangelo, 50125 Firenze, Italia","generic","Conseils Julien.B : 

https://maps.app.goo.gl/2RXxvjRzJKU2CvJu9 meilleur point de vue sur la ville apres balade tres belle
","","À essayer#Parc & Nature",""
"Place agréable avec les enfants","00153 Rome Latium, Italie","generic","Conseils Julien B","","À essayer#Jeux#Kids",""
"Palatino","Via di San Gregorio, 30, 00184 Roma RM, Italia","monument","","","À essayer#Monument#A visiter",""
"Église Saint-Ignace-de-Loyola","Via del Caravita 8A, 00186 Roma, Italia","generic","Église trompe l’œil","","Monument",""
"Église San Pietro in Montorio","Piazza San Pietro in Montorio 2, 00153 Roma, Italia","generic","Conseils Julien B sur le montée ne pas rater la chapelle de Bramante aux proportions parfaites ""cachée"" : https://maps.app.goo.gl/Wkdy8Sk1UGKKB93b7","","À essayer#Monument",""
"Janicule","Piazzale Giuseppe Garibaldi 10001, 00165 Roma, Italia","nightclub","Conseils Julien B le fameux Gianicolo https://maps.app.goo.gl/ANtuvV24KrnAhrsw7 (scene d'ouverture de la Grande bellezza)

y monter apres avoir traversé le quartier Trastevere","","À essayer#Monument",""
"Galerie Borghèse","Piazzale Scipione Borghese 5, 00197 Roma, Italia","generic","Conseils Julien B https://maps.app.goo.gl/hdvdVHJsHj1HcTQa7
galeria borghese :  les plus belles sculptures du Bernin..magnifique attention réservation
évidement le parc est incroyable","","À essayer#Musee",""
"Foro Romano (Roman Forum)","Via della Salara Vecchia, 5, 00186 Roma RM, Italia","historic","","","À essayer#Monument#A visiter",""
"Coliseum","Via di San Giovanni in Laterano 244, 00184 Roma, Italia","restaurant","","","Monument",""
"Romeow Cat Bistrot","Via Francesco Negri 15, 00154 Roma, Italia","restaurant","Resto à chats","","À essayer#Restaurant",""
"Teatro Garbatella","Piazza Giovanni da Triora 15, 00154 Roma, Italia","spectacle","Conseils julien B cité jardin authentique de Garbatella : https://maps.app.goo.gl/Cq8SH2yZei8Nsj57A (ma copine romaine habite la bas)","","À essayer#A visiter#Bar#Monument",""
"Terme di Caracalla (Thermes de Caracalla)","Viale delle Terme di Caracalla, 52, 00153 Roma RM, Italia","monument","Conseils Julien B les thermes de caracalla a coté du colisé, magnifiques et emouvants : sans la foule","","À essayer#A visiter#Monument",""
"Gelateria dei Gracchi","Via di Ripetta 261, 00186 Roma, Italia","restaurant","","","À essayer#Glaces",""
"Bar stellino dans parc","40136 Bologne Émilie-Romagne, Italie","generic","","","À essayer#Bar#Parc & Nature",""
"Corner Bar","Via Saragozza 37, 40123 Bologna, Italy","cafe","Petite terrasse sympa","","À essayer#Cafe#Boulangerie",""
"Aurum by Claudio Barman","Via Santa Margherita 1A, 40123 Bologna, Italy","nightclub","","","À essayer#Cafe",""
"La Svolta - Cucina di Ragione","Via Nosadella 35, 40123 Bologna, Italia","restaurant","Local ","","À essayer#Restaurant",""
"La Prosciutteria","Via Guglielmo Oberdan 19, Int. A, 40126 Bologna, Italia","restaurant","Lieu trop beau 
Jambon","","À essayer#Restaurant#Sandwich",""
"Glaces Piazza San Francesco","Piazza San Francesco d'Assisi, 12F, 40122 Bologna BO, Italia","bus","","","À essayer#Glaces",""
"Bar Volare","Via Belvedere 10/D, 40121 Bologna, Italia","nightclub","Apero italien années 60 reconstruit ambiance d’epoque - cocktails","","À essayer#Bar",""
"Aroma","Via Porta Nova 12/b","cafe","","","À essayer#Cafe",""
"Lampadina","Via Barberia 34, 40123 Bologna, Italia","cafe","","","À essayer#Cafe",""
"Gamberini","Via Ugo Bassi 12R, 40123 Bologna, Italia","cafe","Excellente patisseie","","À essayer#Boulangerie",""
"Yuzuya","Via Niccolò d'Apulia dall'Arca, 1, 40129 Bologna BO, Italia","restaurant","Jap vrai","","À essayer#Restaurant",""
"Pistamentuccia - Cucina Romana","Via Alfredo Testoni 2/B, 40123 Bologna, Italia","restaurant","Cuisine romaine","","À essayer#Restaurant",""
"Quanto Basta","Via del Pratello 103, 40122 Bologna, Italia","restaurant","Cuisine romaine","","À essayer#Restaurant",""
"Trattoria da Me","Via San Felice 50, 40100 Bologna, Italia","restaurant","Pates fraiche","","À essayer#Restaurant",""
"Zapap Pratello","Via del Pratello 31, 40122 Bologna, Italia","restaurant","Pizza + bières artisanales ","","À essayer#Restaurant",""
"Berberè","Piazza di Porta Saragozza 6/A, 40123 Bologna, Italia","restaurant","Trea bonne pizza faute avec pates plus digestes ","","À essayer#Restaurant",""
"O Fiore Mio","Piazza Malpighi 8, 40123 Bologna, Italia","restaurant","Pizza a la part trop
Bonne","","Restaurant",""
"Cremeria Funivia","Via Porrettana 158, 40135 Bologna, Italia","restaurant","","","À essayer#Glaces",""
"Cremeria Santo Stefano","Via Santo Stefano 70/C, 40125 Bologna, Italia","restaurant","","","À essayer#Glaces",""
"Gelateria Gianni","Via Monte Grappa 11A, 40121 Bologna, Italia","restaurant","","","À essayer#Glaces",""
"Il Rovescio","Via Pietralata 75A, 40122 Bologna, Italia","restaurant","Resto végé bio","","À essayer#Restaurant",""
"Trattoria Fantoni","Via del Pratello 11A, 40122 Bologna, Italia","restaurant","","","À essayer#Restaurant",""
"Mozzabella","Via Ugo Bassi 23, 40121 Bologna, Italia","restaurant","Pizza vegan","","À essayer#Restaurant",""
"mozzabella","Via del Pratello 65, 40122 Bologna, Italia","restaurant","Pizza vegan","","À essayer#Restaurant",""
"Certo Pizza","Via Marsala, 35, 40126 Bologna BO, Italia","restaurant","Pizza a la part","","À essayer#Restaurant",""
"Sfarinà Piadina","Via Ugo Bassi 25, 40121 Bologna, Italia","restaurant","Excellente piadine","","À essayer#Grignotage",""
"Pizzeria Due Torri","Strada Maggiore 3, 40125 Bologna, Italia","restaurant","Pizza a la part","","À essayer#Restaurant",""
"Le Stanze","Via del Borgo di San Pietro 1A, 40126 Bologna, Italia","nightclub","Sans ancienne chapelle privée  ","","À essayer#Bar#Restaurant",""
"Lab 16","Via Luigi Zamboni, 16, 40126 Bologna BO, Italia","cafe","Apero a volonte 11€50","","À essayer#Bar#Restaurant",""
"Monastero di San Michele in Bosco","Piazzale San Michele in Bosco 3, 40136 Bologna, Italia","generic","","","À essayer#Monument",""
"Palazzo dell'Archiginnasio","Piazza Luigi Galvani, 1, 40124 Bologna BO, Italia","historic","","","À essayer#Monument",""
"UNO Caffè Olistico","Via Guglielmo Oberdan 27A, 40126 Bologna, Italy","restaurant","Vegan trop bon","","Cafe#Restaurant",""
"Rapsodia Caffe","Via Bertiera 10, 40126 Bologna, Italy","nightclub","","","À essayer#Grignotage",""
"Mortadella lab","Via dell'Indipendenza 20A, 40121 Bologne Émilie-Romagne, Italie","generic","Sandwichs mortadelle","","À essayer#Sandwich",""
"Universita di Bologna Orto Botanico ed Erbario Il Giardino Roccioso","Via Filippo Re 6, 40126 Bologna, Italia","generic","","","À essayer#Parc & Nature",""
"Le Serre dei Giardini Margherita","Via Castiglione 134, 40136 Bologna, Italia","generic","","","À essayer#Bar#Restaurant",""
"Mercatino di Beneficenza di San Francesco","Piazza Marcello Malpighi, 9, 40123 Bologna BO, Italia","supermarket","Brocante dans couvent?","","À essayer#Insolite#Monument",""
"Civico 114 Gastronomia","Via Porrettana 114, 40033 Casalecchio di Reno BO, Italia","restaurant","","","À essayer#Restaurant#Boutique",""
"Santuario Madonna di San Luca","Via di San Luca, 36, 40135 Bologna BO, Italia","worship_christian","","","À essayer#Monument",""
"Palazzo della Mercanzia","Via Castiglione 4, 40125 Bologna, Italia","generic","","","Monument",""
"Torri Asinelli e Garisenda (Garisenda)","Piazza di Porta Ravegnana, 40126 Bologna BO, Italia","historic","","","À essayer#Monument",""
"Torre dell' Orologio","Piazza Maggiore, 6, 40123 Bologna BO, Italia","civic","","","À essayer#Monument",""
"Torre dell’Arengo","Piazza del Nettuno 1C, 40124 Bologna, Italia","generic","","","À essayer#Monument",""
"Canale di Reno","Via Guglielmo Oberdan 43, 40126 Bologna, Italia","generic","","","À essayer#Village mignon",""
"Museo Morandi","Piazza Maggiore 6, 40123 Bologna, Italia","museum","","","À essayer#Musee",""
"Canale delle Moline","Via Piella 8, 40126 Bologna, Italia","generic","","","À essayer#Monument",""
"Cinema Modernissimo","Piazza Re Enzo, 2, 40125 Bologna BO, Italia","movies","","","À essayer#Musee",""
"Basilique San Petronio (Bologne)","Corte de'Galluzzi 12, 40124 Bologna, Italia","generic","","","À essayer#Monument",""
"Parco 11 Settembre 2001","Via Riva di Reno 70, 40122 Bologna, Italia","park","Parc avec jeux enfants et pizzas","","À essayer#Parc & Nature#Grignotage",""
"Mercato delle Erbe","Via Ugo Bassi 23, 40121 Bologna, Italia","supermarket","","","À essayer#Marché",""
"Mercato di Mezzo","Via Clavature 12, 40124 Bologna, Italia","restaurant","","","À essayer#Marché",""
"Biblioteca Salaborsa","Piazza del Nettuno 3, 40121 Bologna, Italia","library","","","À essayer#Musee",""
"Vero gelateria","Via Ugo Bassi 25E, 40121 Bologne Émilie-Romagne, Italie","generic","","","À essayer#Glaces",""
"Plattí","Corso Vittorio Emanuele II 72, 10121 Torino, Italia","cafe","","","À essayer#Cafe",""
"Caffè San Carlo","Piazza San Carlo 156, 10121 Torino, Italia","cafe","","","À essayer#Cafe",""
"Baratti & Milano","Piazza Castello 27, 10123 Torino, Italia","restaurant","","","À essayer#Cafe",""
"Caffè Gelateria Fiorio (est. 1780)","Via Po 8, 10123 Torino, Italia","cafe","","","À essayer#Cafe",""
"Caffé Mulassano","Piazza Castello 15, 10123 Torino, Italia","cafe","","","À essayer#Cafe",""
"Caffe' Torino","Piazza San Carlo 204, 10121 Torino, Italia","cafe","","","À essayer#Cafe",""
"Piazza Emanuele Filiberto","Piazza Emanuele Filiberto, 3, 10122 Torino TO, Italia","restaurant","Pour apéro conseil pote de Fa","","À essayer#Bar",""
"Cianci Piola","Via IV Marzo 9B, 10122 Torino, Italia","restaurant","","","À essayer#Restaurant",""
"Cimitero Monumentale","Corso Novara, 135, 10153 Torino TO, Italia","historic","","","À essayer#Monument#Parc & Nature",""
"Sanctuaire de Marie Auxiliatrice","Via Maria Ausiliatrice 32, 10152 Torino, Italia","generic","","","À essayer#Monument",""
